index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.1093239,0,0,8.299036e-12,0,8.299036E-12
2,21,2.1941314,0.3,0.3,1.649268e-11,18189887877.5,1.649268E-11
3,21,3.2789561,0.6,0.6,2.166518e-11,27694207941,2.166518E-11
4,21,4.3641496,0.9,0.9,3.201599e-11,28110953308,3.201599E-11
5,21,5.4493663,1.2,1.2,4.259866e-11,28169900180,4.259866E-11
6,21,6.5343438,1.5,1.5,5.01255e-11,29924888529.8,5.012550E-11
7,21,7.6192872,1.8,1.8,5.42426e-11,33184250017.5,5.424260E-11
8,21,8.7041,2.1,2.1,6.015146e-11,34911870800.8,6.015146E-11
9,21,9.7893987,2.4,2.4,6.777126e-11,35413241542.2,6.777126E-11
10,21,10.8742743,2.7,2.7,7.275817e-11,37109234605.5,7.275817E-11
11,21,11.9590256,3,3,7.853954e-11,38197320738.1,7.853954E-11
12,21,13.0441708,3.3,3.3,8.569518e-11,38508583563.3,8.569518E-11
13,21,14.129009,3.6,3.6,9.302484e-11,38699340950.2,9.302484E-11
14,21,15.2140435,3.9,3.9,9.976302e-11,39092641742.4,9.976302E-11
15,21,16.2991786,4.2,4.2,1.078755e-10,38933770874.8,1.078755E-10
16,21,17.384335,4.5,4.5,1.161329e-10,38748709452.7,1.161329E-10
17,21,18.4691678,4.8,4.8,1.251674e-10,38348643496.6,1.251674E-10
18,21,19.5545073,5.1,5.1,1.324679e-10,38499893181.7,1.324679E-10
19,21,20.6394158,5.4,5.4,1.4094e-10,38314176245.2,1.409400E-10
20,21,21.7245408,5.7,5.7,1.514358e-10,37639712670.3,1.514358E-10
21,21,22.8094016,6,6,1.584059e-10,37877377042.1,1.584059E-10
