index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2911138,0,0,8.867292e-12,0,8.867292E-12
2,21,2.3760722,0.3,0.3,1.094323e-11,27414209515.8,1.094323E-11
3,21,3.4616863,0.6,0.6,1.264807e-11,47438067626.1,1.264807E-11
4,21,4.5477017,0.9,0.9,1.537347e-11,58542411049.7,1.537347E-11
5,21,5.6330863,1.2,1.2,1.446886e-11,82936734476.7,1.446886E-11
6,21,6.71842,1.5,1.5,1.552422e-11,96623211987.5,1.552422E-11
7,21,7.8037361,1.8,1.8,1.651001e-11,109024767399,1.651001E-11
8,21,8.8887031,2.1,2.1,1.680574e-11,124957306254,1.680574E-11
9,21,9.9747374,2.4,2.4,1.901508e-11,126215614134,1.901508E-11
10,21,11.0600739,2.7,2.7,2.014005e-11,134061236194,2.014005E-11
11,21,12.1452985,3,3,2.072572e-11,144747685485,2.072572E-11
12,21,13.2313933,3.3,3.3,2.349171e-11,140475086743,2.349171E-11
13,21,14.3171707,3.6,3.6,2.237837e-11,160869625446,2.237837E-11
14,21,15.4032083,3.9,3.9,2.64201e-11,147614884122,2.642010E-11
15,21,16.4889775,4.2,4.2,2.774798e-11,151362369441,2.774798E-11
16,21,17.5742995,4.5,4.5,2.700576e-11,166631118695,2.700576E-11
17,21,18.6592899,4.8,4.8,3.310022e-11,145014141900,3.310022E-11
18,21,19.7449083,5.1,5.1,3.489205e-11,146165100646,3.489205E-11
19,21,20.8299,5.4,5.4,3.659687e-11,147553602262,3.659687E-11
20,21,21.9151185,5.7,5.7,4.00413e-11,142353020506,4.004130E-11
21,21,23.0016647,6,6,4.255218e-11,141003351650,4.255218E-11
