index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0918045,0,0,1.104187e-11,0,1.104187E-11
2,21,2.1770552,0.3,0.3,9.000693e-12,33330766864.3,9.000693E-12
3,21,3.2621551,0.6,0.6,9.151461e-12,65563301859.7,9.151461E-12
4,21,4.3472796,0.9,0.9,1.180729e-11,76224095452.9,1.180729E-11
5,21,5.4322956,1.2,1.2,8.815124e-12,136129678947,8.815124E-12
6,21,6.5171673,1.5,1.5,8.229448e-12,182272249609,8.229448E-12
7,21,7.6020908,1.8,1.8,1.156953e-11,155581082378,1.156953E-11
8,21,8.687262,2.1,2.1,1.072291e-11,195842359956,1.072291E-11
9,21,9.7724744,2.4,2.4,7.649575e-12,313742920358,7.649575E-12
10,21,10.8575761,2.7,2.7,1.27409e-11,211915955702,1.274090E-11
11,21,11.9427527,3,3,1.055476e-11,284231948429,1.055476E-11
12,21,13.0278257,3.3,3.3,9.638557e-12,342374901139,9.638557E-12
13,21,14.1129954,3.6,3.6,1.074032e-11,335185543820,1.074032E-11
14,21,15.1978138,3.9,3.9,1.434716e-11,271830801357,1.434716E-11
15,21,16.2831067,4.2,4.2,1.048518e-11,400565369407,1.048518E-11
16,21,17.3678377,4.5,4.5,1.090849e-11,412522723127,1.090849E-11
17,21,18.452893,4.8,4.8,1.386006e-11,346318847105,1.386006E-11
18,21,19.5378381,5.1,5.1,1.183048e-11,431089862795,1.183048E-11
19,21,20.6228545,5.4,5.4,1.067653e-11,505782309421,1.067653E-11
20,21,21.7076875,5.7,5.7,1.387746e-11,410737988076,1.387746E-11
21,21,22.7928211,6,6,1.499661e-11,400090420435,1.499661E-11
