index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.0959842,0,0,7.290055e-12,0,7.290055E-12
2,21,2.1814799,0.3,0.3,6.5884e-12,45534575921.3,6.588400E-12
3,21,3.2665838,0.6,0.6,5.463437e-12,109820978992,5.463437E-12
4,21,4.3516541,0.9,0.9,5.55042e-12,162149891360,5.550420E-12
5,21,5.4365943,1.2,1.2,8.90211e-12,134799502590,8.902110E-12
6,21,6.5217818,1.5,1.5,6.727568e-12,222963186697,6.727568E-12
7,21,7.6066353,1.8,1.8,4.895157e-12,367710371700,4.895157E-12
8,21,8.6918341,2.1,2.1,6.513012e-12,322431464889,6.513012E-12
9,21,9.7766701,2.4,2.4,8.107681e-12,296015593115,8.107681E-12
10,21,10.8618477,2.7,2.7,7.162482e-12,376964298130,7.162482E-12
11,21,11.9470582,3,3,5.005336e-12,599360362621,5.005336E-12
12,21,13.03188,3.3,3.3,6.791358e-12,485911654193,6.791358E-12
13,21,14.1167217,3.6,3.6,7.527804e-12,478227116434,7.527804E-12
14,21,15.2019033,3.9,3.9,7.811945e-12,499235465687,7.811945E-12
15,21,16.2870716,4.2,4.2,7.069698e-12,594084782688,7.069698E-12
16,21,17.3718768,4.5,4.5,6.762365e-12,665447665129,6.762365E-12
17,21,18.4569068,4.8,4.8,6.437633e-12,745615663397,6.437633E-12
18,21,19.5424854,5.1,5.1,9.49359e-12,537204576983,9.493590E-12
19,21,20.6272967,5.4,5.4,8.351233e-12,646611105210,8.351233E-12
20,21,21.7121926,5.7,5.7,7.968508e-12,715315840807,7.968508E-12
21,21,22.7972936,6,6,7.319049e-12,819778635175,7.319049E-12
