index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2084725,0,0,7.69597e-12,0,7.695970E-12
2,21,2.293315,0.3,0.3,9.29643e-12,32270452205.8,9.296430E-12
3,21,3.3783264,0.6,0.6,6.994312e-12,85783991334.7,6.994312E-12
4,21,4.4633077,0.9,0.9,8.188861e-12,109905394657,8.188861E-12
5,21,5.5480932,1.2,1.2,7.945311e-12,151032476891,7.945311E-12
6,21,6.633436,1.5,1.5,7.284248e-12,205923796115,7.284248E-12
7,21,7.7186219,1.8,1.8,9.3834e-12,191828122003,9.383400E-12
8,21,8.8039239,2.1,2.1,8.739733e-12,240281939963,8.739733E-12
9,21,9.8888224,2.4,2.4,9.650157e-12,248700616995,9.650157E-12
10,21,10.9740919,2.7,2.7,6.275268e-12,430260508396,6.275268E-12
11,21,12.0591761,3,3,1.012565e-11,296277276027,1.012565E-11
12,21,13.1443615,3.3,3.3,9.128266e-12,361514443159,9.128266E-12
13,21,14.2293407,3.6,3.6,8.496195e-12,423719088368,8.496195E-12
14,21,15.3141277,3.9,3.9,7.458217e-12,522913184210,7.458217E-12
15,21,16.3992493,4.2,4.2,9.058677e-12,463643863226,9.058677E-12
16,21,17.4842249,4.5,4.5,8.751345e-12,514206673374,8.751345E-12
17,21,18.5692711,4.8,4.8,8.583179e-12,559233356312,8.583179E-12
18,21,19.6542443,5.1,5.1,8.623771e-12,591388616419,8.623771E-12
19,21,20.7394504,5.4,5.4,9.348621e-12,577625298961,9.348621E-12
20,21,21.8242264,5.7,5.7,9.337021e-12,610473083438,9.337021E-12
21,21,22.909249,6,6,8.890515e-12,674876539773,8.890515E-12
