index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.099882,0,0,7.974309e-12,0,7.974309E-12
2,21,2.1848881,0.3,0.3,1.138979e-11,26339379391.5,1.138979E-11
3,21,3.2700862,0.6,0.6,1.783801e-11,33636038997.6,1.783801E-11
4,21,4.3555088,0.9,0.9,2.084757e-11,43170499007.8,2.084757E-11
5,21,5.4403145,1.2,1.2,2.261617e-11,53059381849.4,2.261617E-11
6,21,6.5254344,1.5,1.5,2.635639e-11,56912194727.7,2.635639E-11
7,21,7.6106546,1.8,1.8,3.294956e-11,54628954074,3.294956E-11
8,21,8.6956722,2.1,2.1,3.369756e-11,62319052180.6,3.369756E-11
9,21,9.7808107,2.4,2.4,3.539092e-11,67814004270,3.539092E-11
10,21,10.8658003,2.7,2.7,4.296411e-11,62843149782.5,4.296411E-11
11,21,11.9508284,3,3,4.556196e-11,65844401777.3,4.556196E-11
12,21,13.0361436,3.3,3.3,4.650137e-11,70965651119.5,4.650137E-11
13,21,14.1210827,3.6,3.6,5.031698e-11,71546424288.6,5.031698E-11
14,21,15.2060075,3.9,3.9,5.718847e-11,68195564595.5,5.718847E-11
15,21,16.2910574,4.2,4.2,5.889911e-11,71308378004.4,5.889911E-11
16,21,17.3767091,4.5,4.5,6.157237e-11,73084729400.5,6.157237E-11
17,21,18.4618405,4.8,4.8,6.643751e-11,72248342841.3,6.643751E-11
18,21,19.546874,5.1,5.1,7.049666e-11,72343852886.1,7.049666E-11
19,21,20.6319794,5.4,5.4,7.427171e-11,72706014174.2,7.427171E-11
20,21,21.7183433,5.7,5.7,7.777416e-11,73289123276.9,7.777416E-11
21,21,22.8033457,6,6,8.505161e-11,70545401786,8.505161E-11
