index,total,elapsed_s,source_value,voltage_v,current_a,resistance_ohm,raw
1,21,1.2322423,0,0,5.724383e-12,0,5.724383E-12
2,21,2.3172956,0.3,0.3,1.196387e-11,25075498145.7,1.196387E-11
3,21,3.4025179,0.6,0.6,1.753069e-11,34225692200.4,1.753069E-11
4,21,4.4883965,0.9,0.9,2.020972e-11,44533026682.2,2.020972E-11
5,21,5.5734236,1.2,1.2,2.925579e-11,41017521659.8,2.925579E-11
6,21,6.6586062,1.5,1.5,3.276979e-11,45773866723,3.276979E-11
7,21,7.7434125,1.8,1.8,4.183328e-11,43027943302.6,4.183328E-11
8,21,8.8283165,2.1,2.1,5.00501e-11,41957958126,5.005010E-11
9,21,9.913415,2.4,2.4,5.642307e-11,42535792540.2,5.642307E-11
10,21,10.9982584,2.7,2.7,6.494147e-11,41575899036.5,6.494147E-11
11,21,12.0830924,3,3,7.321637e-11,40974443283.7,7.321637E-11
12,21,13.1681374,3.3,3.3,8.19667e-11,40260252029.2,8.196670E-11
13,21,14.2530658,3.6,3.6,8.724359e-11,41263776513.6,8.724359E-11
14,21,15.3383175,3.9,3.9,9.769869e-11,39918651928.7,9.769869E-11
15,21,16.4234214,4.2,4.2,8.297567e-11,50617247200.3,8.297567E-11
16,21,17.5082174,4.5,4.5,1.016071e-10,44288243636.5,1.016071E-10
17,21,18.5932463,4.8,4.8,1.221869e-10,39284080372,1.221869E-10
18,21,19.6781205,5.1,5.1,1.34492e-10,37920471106.1,1.344920E-10
19,21,20.7631249,5.4,5.4,1.151124e-10,46910671656.6,1.151124E-10
20,21,21.8482403,5.7,5.7,1.480206e-10,38508153594.8,1.480206E-10
21,21,22.9330377,6,6,1.613925e-10,37176448719.7,1.613925E-10
